row	rank	article	word	plural	english	cefrLevel	flags
18901	18412	das	Büschel	Büschel	tuft	UNSET	
18902	3701	die	Busfahrerin	Busfahrerinnen	bus driver	A2	
18903	18414	die	Busspur	Busspuren	bus lane	UNSET	
18904	1787	das	Butterbrot	Butterbrote	slice of bread and butter/open sandwich	A1	
18905	8648	der	Campingurlaub	Campingurlaube	camping holiday/camping vacation	A1	
18906	18417	das	Cape	Capes	cape	UNSET	
18907	18418	der	Charakterzug	Charakterzüge	character trait	UNSET	
18908	18419	der	Checker	Checker	smart cookie/checker	UNSET	
18909	18420	der	Chefkoch	Chefköche	chef	UNSET	
18910	18421	der	Chemielaborant	Chemielaboranten	chemical laboratory technician	UNSET	
18911	18422	der	Chemikant	Chemikanten	chemical technician	UNSET	
18912	18423	der	Chili	Chilis	chili/chili sauce/chilli	UNSET	
18913	18424	die	Cholera	—	cholera	UNSET	
18914	18425	die	Chorleiterin	Chorleiterinnen	choir director (female)	UNSET	
18915	18426	die	Christianisierung	Christianisierungen	Christianisation	UNSET	
18916	18427	der	Cineast	Cineasten	cineast/cineaste	UNSET	
18917	18428	das	Clubmitglied	Clubmitglieder	club member	UNSET	
18918	18429	die	Clutch	Clutches	clutch bag	UNSET	
18919	18430	das	Commitment	Commitments	commitment	UNSET	
18920	18431	der	Computerkurs	Computerkurse	computer course	UNSET	
18921	18432	die	Computertomografie	Computertomografien	computed tomography (CT)	UNSET	
18922	18433	das	Corpus	Corpora	corpus	UNSET	
18923	18434	die	Courtage	Courtagen	broker's fee/brokerage/commission	UNSET	
18924	18435	der	Crack	Cracks	ace/crack player	UNSET	
18925	18436	das	Croissant	Croissants	croissant	UNSET	
18926	18437	das	Crossover	Crossovers	crossover	UNSET	
18927	18438	der	Crosstrainer	Crosstrainer	cross trainer/elliptical trainer	UNSET	
18928	18439	der	Cupcake	Cupcakes	cupcake	UNSET	
18929	18440	das	Cyanobakterium	Cyanobakterien	cyanobacterium	UNSET	
18930	18441	die	Dachschräge	Dachschrägen	sloping ceiling	UNSET	
18931	18442	der	Damenschuh	Damenschuhe	women's shoe	UNSET	
18932	18443	die	Damenwelt	Damenwelten	ladies' world	UNSET	
18933	18444	das	Dänisch	—	Danish	UNSET	
18934	18445	der	Dealer	Dealer	dealer/drug dealer	UNSET	
18935	18446	der	Debütant	Debütanten	debutant	UNSET	
18936	18447	die	Dekarbonisierung	—	decarbonisation	UNSET	
18937	18448	das	Denkmuster	Denkmuster	thought pattern	UNSET	
18938	18449	der	Denkprozess	Denkprozesse	thought process	UNSET	
18939	18450	die	Dependance	Dependancen	branch/annexe	UNSET	
18940	18451	der	Dienstgrad	Dienstgrade	rank	UNSET	
18941	18452	der	Dienststellenleiter	Dienststellenleiter	head of department/office head	UNSET	
18942	18453	der	Dienstunfall	Dienstunfälle	accident at work/workplace accident	UNSET	
18943	18454	die	Diffusion	Diffusionen	diffusion	UNSET	
18944	18455	die	Digitalwährung	Digitalwährungen	digital currency	UNSET	
18945	18456	die	Diskette	Disketten	floppy/floppy disk	UNSET	
18946	18457	die	Diskontinuität	Diskontinuitäten	discontinuity	UNSET	
18947	18458	die	Disputation	Disputationen	disputation	UNSET	
18948	18459	der	Dissident	Dissidenten	dissident	UNSET	
18949	18460	das	Diuretikum	Diuretika	diuretic	UNSET	
18950	18461	die	Divergenz	Divergenzen	divergence	UNSET	
18951	18462	der	Doktorgrad	Doktorgrade	doctoral degree	UNSET	
18952	18463	der	Doktorvater	Doktorväter	supervisor/thesis advisor	UNSET	
18953	18464	der	Doppelgänger	Doppelgänger	doppelganger/double	UNSET	
18954	18465	das	Doppelkupplungsgetriebe	Doppelkupplungsgetriebe	dual-clutch transmission	UNSET	
18955	18466	der	Doppelpunkt	Doppelpunkte	colon	UNSET	
18956	18467	der	Doppelsieg	Doppelsiege	one-two finish/clean sweep of the top two places	UNSET	
18957	18468	das	Dorffest	Dorffeste	village festival/village fete	UNSET	
18958	18469	der	Draft	Drafts	draft	UNSET	
18959	18470	die	Dreifaltigkeit	—	Trinity	UNSET	
18960	18471	der	Drill	—	drill	UNSET	
18961	18472	der	Drittklässler	Drittklässler	third grader/third-grader	UNSET	
18962	18473	der	Drive	Drives	drive/tee shot	UNSET	
18963	18474	die	Druckausgabe	Druckausgaben	print edition	UNSET	
18964	18475	der	Druckfehler	Druckfehler	misprint	UNSET	
18965	18476	das	Drumset	Drumsets	drum kit/drum set	UNSET	
18966	18477	die	Duftnote	Duftnoten	fragrance note	UNSET	
18967	18478	die	Dünenlandschaft	Dünenlandschaften	dune landscape	UNSET	
18968	18479	das	Duplikat	Duplikate	copy/duplicate	UNSET	
18969	4663	das	Durchsetzungsvermögen	Durchsetzungsvermögen	assertiveness/ability to assert oneself	C1	
18970	18481	die	Durststrecke	Durststrecken	dry spell/lean period	UNSET	
18971	18482	das	Dynamit	—	dynamite	UNSET	
18972	4665	die	Dystopie	Dystopien	dystopia	C1	
18973	18484	das	Ebenbild	Ebenbilder	image/likeness (of); spitting image	UNSET	
18974	18485	die	Eberesche	Ebereschen	rowan	UNSET	
18975	18486	der	Eckball	Eckbälle	corner/corner kick	UNSET	
18976	18487	der	Ehrentitel	Ehrentitel	honorary title/title of honour	UNSET	
18977	18488	die	Ehrfurcht	—	awe/reverence	UNSET	
18978	18489	die	Eigenversorgung	Eigenversorgungen	self-supply/self-sufficiency	UNSET	
18979	18490	das	Eiltempo	—	fast pace/great haste	UNSET	
18980	18491	die	Eindeutigkeit	Eindeutigkeiten	unambiguity/uniqueness	UNSET	
18981	18492	der	Eingeweihte	Eingeweihten	initiate/insider	UNSET	adjectivalNoun
18982	8649	der	Einkaufszettel	Einkaufszettel	grocery list/shopping list	A1	
18983	18494	die	Einkommensquelle	Einkommensquellen	source of income	UNSET	
