row	rank	article	word	plural	english	cefrLevel	flags
701	702	die	Info	Infos	info	A2	
702	703	das	Tor	Tore	goal/gate	A2	
703	704	die	Innenstadt	Innenstädte	city centre/downtown	A2	
704	2361	der	Kursus	Kurse	course	UNSET	
705	706	das	Fahrrad	Fahrräder	bicycle	A1	
706	2364	der	Grüne	Grünen	Green (party member)	UNSET	adjectivalNoun
707	708	das	Baby	Babys	baby/infant	A1	
708	709	das	Drittel	Drittel	third	A1	
709	710	die	Gründung	Gründungen	founding/establishment	B2	
710	711	das	Rathaus	Rathäuser	town hall/city hall	A1	
711	712	der	Zuschauer	Zuschauer	spectator/viewer	A1	
712	713	die	Beschwerde	Beschwerden	complaint	C1	
713	714	die	Auszeichnung	Auszeichnungen	award/distinction	C1	
714	715	die	Bestimmung	Bestimmungen	regulation/purpose	C1	
715	716	das	Training	Trainings	training	A1	
716	717	die	Übung	Übungen	exercise/practice	A1	
717	718	der	Auszubildende	Auszubildenden	apprentice/trainee	A2	adjectivalNoun
718	719	der	Senior	Senioren	senior citizen	A2	
719	720	die	Tür	Türen	door	A1	
720	721	der	Kaffee	Kaffees	coffee	A1	
721	2366	der	Stadtteil	Stadtteile	district/neighbourhood	UNSET	
722	723	die	Kritik	Kritiken	criticism/critique	B1	
723	724	die	Vorlage	Vorlagen	template	C1	
724	725	die	Begegnung	Begegnungen	encounter/meeting	B2	
725	726	die	Freiheit	Freiheiten	freedom/liberty	A2	
726	727	das	Frühjahr	Frühjahre	spring	A1	
727	728	die	Gemeinschaft	Gemeinschaften	community	B1	
728	729	das	Grundstück	Grundstücke	property/plot	B1	
729	2374	der	Interessierte	Interessierten	interested person	UNSET	adjectivalNoun
730	731	der	Kampf	Kämpfe	fight/battle	B1	
731	732	die	Präsentation	Präsentationen	presentation	A1	
732	733	das	Gelände	Gelände	terrain/grounds	B2	
733	734	der	Beschluss	Beschlüsse	decision/resolution	C1	
734	2377	die	Falle	Fallen	trap	UNSET	
735	736	der	Versuch	Versuche	attempt/experiment	B1	
736	737	der	Vordergrund	Vordergründe	foreground	A2	
737	738	das	Dorf	Dörfer	village	A1	
738	2383	der	Fächer	Fächer	fan	UNSET	
739	740	die	Geburt	Geburten	birth	A2	
740	741	die	Quelle	Quellen	source/spring	C1	
741	742	der	Sieg	Siege	victory	B1	
742	2396	die	Veröffentlichung	Veröffentlichungen	publication	UNSET	
743	2400	das	Treffen	Treffen	encounter/meeting	UNSET	
744	745	der	Parkplatz	Parkplätze	parking lot/car park	A2	
745	2404	das	Reisen	—	travelling	UNSET	
746	2405	das	Update	Updates	update	UNSET	
747	748	der	Klimawandel	—	climate change	B1	
748	749	der	Effekt	Effekte	effect	B2	
749	750	die	Steuer	Steuern	tax	A2	
750	751	die	Broschüre	Broschüren	brochure	B1	
751	752	die	Besonderheit	Besonderheiten	special feature	C1	
752	753	der	Leser	Leser	reader	B1	
753	754	der	Verlust	Verluste	loss	B1	
754	755	das	Format	Formate	format	B1	
755	756	die	Post	—	post/post office	A1	
756	757	der	Unternehmer	Unternehmer	businessman/entrepreneur	B1	
757	758	das	Gewicht	Gewichte	weight	A1	
758	759	die	Herstellung	—	production/manufacture	C1	
759	760	das	Event	Events	event	A1	
760	761	die	Kampagne	Kampagnen	campaign	B2	
761	762	der	Strand	Strände	beach	A1	
762	763	der	Nachweis	Nachweise	proof/certificate	C1	
763	764	der	Betrag	Beträge	amount	A2	
764	765	die	Konferenz	Konferenzen	conference	A2	
765	766	der	Lebensraum	Lebensräume	habitat/living space	B2	
766	767	die	Spur	Spuren	trace/track/lane	B1	
767	768	der	Norden	—	north	A1	
768	769	die	Erklärung	Erklärungen	explanation	B1	
769	770	das	Niveau	Niveaus	level	C1	
770	771	die	Auskunft	Auskünfte	information	A1	
771	2418	die	Kommission	Kommissionen	commission/committee	UNSET	
772	773	der	Tarif	Tarife	rate/tariff	A2	
773	774	die	Homepage	Homepages	homepage	A1	
774	775	der	Neubau	Neubauten	new building	C1	
775	776	der	Wechsel	Wechsel	change	B2	
776	777	die	Karriere	Karrieren	career	A1	
777	778	die	Zahlung	Zahlungen	payment	B1	
778	779	die	Verordnung	Verordnungen	regulation/ordinance	C1	
779	780	der	Bestand	Bestände	stock/inventory	C1	
780	2443	das	Wachstum	—	growth	UNSET	
781	782	der	Bundestag	—	Bundestag	B1	
782	783	die	Erstellung	Erstellungen	creation	B2	
783	784	das	Formular	Formulare	form	A1	
784	785	das	Geschenk	Geschenke	gift/present	A1	
785	786	die	Nachhaltigkeit	—	sustainability	B2	
786	787	der	Fahrer	Fahrer	driver	A1	
787	788	der	Trainer	Trainer	coach	A2	
788	789	das	Profil	Profile	profile	A1	
789	2455	der	Klimaschutz	—	climate change mitigation	UNSET	
790	2458	der	Dritte	Dritten	third party/third person	UNSET	adjectivalNoun
791	792	der	Fachbereich	Fachbereiche	department/faculty	C1	
792	793	die	Medizin	—	medicine	A2	
793	794	das	Bett	Betten	bed	A1	
794	795	der	Konflikt	Konflikte	clash/conflict	B1	
795	796	die	Mehrheit	Mehrheiten	majority	B1	
796	797	die	Note	Noten	grade/mark	A2	
797	798	das	Dach	Dächer	roof	A2	
798	799	die	Szene	Szenen	scene	A1	
799	2459	die	Dokumentation	Dokumentationen	documentation	UNSET	
800	801	der	Entwurf	Entwürfe	draft/design	B2	
801	802	der	Traum	Träume	dream	A1	
802	2465	das	Vorfeld	Vorfelder	run-up/lead-up	UNSET	
803	2482	die	Auswertung	Auswertungen	evaluation/analysis	UNSET	
804	805	das	Konto	Konten	account	A1	
805	806	das	Fach	Fächer	subject/compartment	A2	
806	807	das	Haar	Haare	hair	A1	
807	808	der	Nutzen	Nutzen	benefit/use	C1	
808	809	die	Fakultät	Fakultäten	faculty	C1	
809	810	das	Management	Managements	management	B2	
810	811	die	Zeitschrift	Zeitschriften	journal/magazine	A1	
811	812	die	Ordnung	Ordnungen	order	A1	
812	813	der	Mieter	Mieter	tenant	A2	
813	814	die	Erweiterung	Erweiterungen	expansion/extension	C1	
814	815	das	Getränk	Getränke	drink/beverage	A1	
815	5119	die	Komponente	Komponenten	component	UNSET	
816	3572	die	Informatik	—	computer science	A2	
817	818	das	Klima	Klimas	climate	B1	
818	819	das	Englisch	—	English	A2	
819	820	die	Figur	Figuren	figure	A2	
820	821	der	Geschmack	Geschmäcke	taste	B1	
821	822	die	Umfrage	Umfragen	poll/survey	A2	
822	823	die	Einladung	Einladungen	invitation	A1	
823	824	der	Klick	Klicks	click	B1	
824	825	der	Beamte	Beamten	civil servant/official	A1	adjectivalNoun
825	826	der	Nachteil	Nachteile	disadvantage	A1	
826	827	der	Vermieter	Vermieter	landlord	A1	
827	828	der	Abschnitt	Abschnitte	section	A1	
828	5461	der	Anwender	Anwender	user	UNSET	
829	830	die	Reaktion	Reaktionen	reaction	A1	
830	831	der	Einkauf	Einkäufe	purchase/shopping	A1	
831	832	die	Hauptstadt	Hauptstädte	capital city	A1	
832	833	die	Sendung	Sendungen	broadcast/shipment	A2	
833	834	das	Telefon	Telefone	phone/telephone	A1	
834	835	der	Ausdruck	Ausdrücke	expression	A1	
835	5479	die	Begleitung	Begleitungen	accompaniment/escort	UNSET	
836	837	die	Partnerschaft	Partnerschaften	partnership	B2	
837	5515	die	Vereinbarung	Vereinbarungen	agreement/arrangement	C1	
838	839	das	Werkzeug	Werkzeuge	tool	A2	
839	5631	der	Server	Server	server	UNSET	
840	5732	das	Arzneimittel	Arzneimittel	medicine/medication	C1	
841	5812	die	Auseinandersetzung	Auseinandersetzungen	dispute/conflict	C1	
842	843	der	Geburtstag	Geburtstage	birthday/day of birth	A1	
843	844	die	Operation	Operationen	operation/surgery	A2	
844	5838	der	Eingriff	Eingriffe	intervention/procedure	UNSET	
845	846	die	Lehrerin	Lehrerinnen	female teacher	A1	
846	847	der	Nachmittag	Nachmittage	afternoon	A1	
847	848	die	Tonne	Tonnen	tonne (metric)/bin	B1	
848	849	der	Kontext	Kontexte	context	A1	
849	850	das	Parlament	Parlamente	parliament	A2	
850	5911	die	Bearbeitung	Bearbeitungen	processing/editing	UNSET	
851	852	die	Frist	Fristen	deadline	A2	
852	853	die	Aufmerksamkeit	Aufmerksamkeiten	attention	B2	
853	6179	die	Einheit	Einheiten	unit/unity	UNSET	
854	855	die	Rede	Reden	speech	B1	
855	6204	die	Tagung	Tagungen	conference/convention	UNSET	
856	857	der	Osten	—	east	A1	
857	858	das	Tablet	Tablets	tablet	A2	
858	859	der	Süden	—	south	A1	
859	860	das	Einkommen	Einkommen	income	B1	
860	6351	das	Wohnen	—	living/housing	UNSET	
861	862	der	Einstieg	Einstiege	entry/start	B2	
862	863	das	Fernsehen	—	TV/television	A1	
863	7070	die	Ausführung	Ausführungen	carrying out/execution	UNSET	
864	865	die	Brücke	Brücken	bridge	A1	
865	866	das	Frühstück	Frühstücke	breakfast	A1	
866	7119	die	Jury	Jurys	jury	UNSET	
867	868	der	Kindergarten	Kindergärten	kindergarten	A1	
868	869	das	Glas	Gläser	glass	A1	
869	870	die	Kleidung	—	clothing/clothes	A1	
870	871	die	Hoffnung	Hoffnungen	hope	A2	
871	872	der	Bahnhof	Bahnhöfe	train station	A1	
872	873	der	Blog	Blogs	blog/weblog	A1	
873	7483	die	Aktie	Aktien	share/stock	C1	
874	875	das	Kapitel	Kapitel	chapter	A1	
875	876	das	Rezept	Rezepte	recipe/prescription	A1	
876	877	die	Stufe	Stufen	step/level	B1	
877	878	die	Debatte	Debatten	debate	C1	
878	879	der	Zoo	Zoos	zoo	A1	
