row	rank	article	word	plural	english	cefrLevel	flags
25901	8615	die	Versandart	Versandarten	shipping method	A2	
25902	8616	die	Zahlungsart	Zahlungsarten	payment method	A2	
25903	8617	die	Zwischensumme	Zwischensummen	subtotal	A2	
25904	8618	der	Hardrock	—	hard rock	A2	
25905	8619	der	Pop	—	pop	A2	
25906	8620	der	Kunstexperte	Kunstexperten	art expert	A2	
25907	8621	die	Kunstexpertin	Kunstexpertinnen	art expert	A2	
25908	8622	die	Nachrichtensprecherin	Nachrichtensprecherinnen	newsreader	A2	
25909	8623	der	Radiosprecher	Radiosprecher	radio announcer	A2	
25910	8624	die	Radiosprecherin	Radiosprecherinnen	radio announcer	A2	
25911	8625	das	Relativpronomen	Relativpronomen	relative pronoun	A2	
25912	8626	das	Bezugswort	Bezugswörter	reference word	A2	
25913	8627	das	Tierbild	Tierbilder	animal picture	A2	
25914	8630	die	Tiermalerei	Tiermalerei	animal painting	A2	
25915	8631	die	Bildbeschreibung	Bildbeschreibungen	image description	A2	
25916	25964	der	Urlaubsgruß	Urlaubsgrüße	holiday greeting	UNSET	
25917	25965	der	Urlaubstyp	Urlaubstypen	type of holidaymaker/holiday type	UNSET	
25918	25966	die	Urlaubsplanung	Urlaubsplanungen	holiday planning	UNSET	
25919	25967	das	Wellnesshotel	Wellnesshotels	spa hotel	UNSET	
25920	25968	die	Fahrtzeit	Fahrtzeiten	travel time	UNSET	
25921	25969	der	Reisebüro-Mitarbeiter	Reisebüro-Mitarbeiter	travel agent (m)	UNSET	
25922	25970	die	Reisebüro-Mitarbeiterin	Reisebüro-Mitarbeiterinnen	travel agent (f)	UNSET	
25923	25971	der	Skibus	Skibusse	ski bus	UNSET	
25924	25972	der	Wellness-Bereich	Wellness-Bereiche	spa area	UNSET	
25925	25973	die	Werbesprache	—	language of advertising	UNSET	
25926	25974	das	Adverb	Adverbien	adverb	UNSET	
25927	25975	die	Vergangenheitsform	Vergangenheitsformen	past tense/past form	UNSET	
25928	25976	die	Geschäftsfrau	Geschäftsfrauen	businesswoman	UNSET	
25929	25977	die	Chemikerin	Chemikerinnen	chemist (scientist)	UNSET	
25930	25978	die	Einwegflasche	Einwegflaschen	disposable bottle	UNSET	
25931	25979	die	Mehrwegflasche	Mehrwegflaschen	reusable bottle	UNSET	
25932	25980	das	Solarpanel	Solarpaneele	solar panel	UNSET	
25933	25981	der	Satzanfang	Satzanfänge	beginning of a sentence	UNSET	
25934	25982	der	Herbststurm	Herbststürme	autumn storm	UNSET	
25935	25983	das	Nachbardorf	Nachbardörfer	neighbouring village	UNSET	
25936	25984	die	Windturbine	Windturbinen	wind turbine	UNSET	
25937	25985	der	Kasus	Kasus	case	UNSET	
25938	25986	die	Ehegattin	Ehegattinnen	spouse (f)/wife (formal, legal register)	UNSET	
25939	25987	das	Tempus	Tempora	tense	UNSET	
25940	25988	die	Liebesszene	Liebesszenen	love scene	UNSET	
25941	25989	die	Kursstunde	Kursstunden	class session	UNSET	
25942	25990	der	Ethnologe	Ethnologen	ethnologist	UNSET	
25943	25991	der	Farbstift	Farbstifte	coloured pencil	UNSET	
25944	25992	das	Passiv	—	passive voice	UNSET	
25945	25993	das	Garagentor	Garagentore	garage door	UNSET	
25946	25994	der	Wortstamm	Wortstämme	word stem/root	UNSET	
25947	25995	die	Kaufmannsfamilie	Kaufmannsfamilien	merchant family	UNSET	
