row	rank	article	word	plural	english	cefrLevel	flags
17501	17011	die	Brasserie	Brasserien	brasserie	UNSET	
17502	17012	das	Brauchwasser	—	process water/non-potable water	UNSET	
17503	17013	der	Briefkopf	Briefköpfe	letterhead	UNSET	
17504	17014	das	Brotbacken	—	breadmaking	UNSET	
17505	17015	die	Brünette	Brünetten	brunette	UNSET	
17506	17016	die	Brunft	Brünfte	rut/rutting season	UNSET	
17507	17017	die	Brutstätte	Brutstätten	breeding ground/hotbed	UNSET	
17508	3238	die	Büchse	Büchsen	can/tin/rifle	B1	
17509	17019	das	Büdchen	Büdchen	kiosk (Rhineland)	UNSET	
17510	17020	das	Büfett	Büfetts	buffet/sideboard	UNSET	
17511	17021	der	Bulgare	Bulgaren	Bulgarian	UNSET	
17512	17022	die	Bulimie	—	bulimia	UNSET	
17513	17023	das	Bundesarchiv	Bundesarchive	Federal Archives	UNSET	
17514	17024	die	Bundesjugendspiele	Bundesjugendspiele	Federal Youth Games	UNSET	
17515	17025	der	Bundesnachrichtendienst	—	Federal Intelligence Service	UNSET	
17516	17026	der	Bundesratspräsident	Bundesratspräsidenten	President of the Federal Council	UNSET	
17517	17027	der	Bundestagswahlkampf	Bundestagswahlkämpfe	Bundestag election campaign	UNSET	
17518	17028	der	Bundeswahlleiter	Bundeswahlleiter	Federal Returning Officer	UNSET	
17519	17029	der	Busen	Busen	bosom/bust	UNSET	
17520	17030	der	Bußgeldkatalog	Bußgeldkataloge	catalogue of fines/list of fines	UNSET	
17521	17031	die	Charakteristik	Charakteristiken	characteristic/characteristic curve/characterisation	UNSET	
17522	17032	das	Chinesisch	—	Chinese	UNSET	
17523	17033	die	Chlamydie	Chlamydien	chlamydia	UNSET	
17524	17034	der	Choral	Choräle	chorale	UNSET	
17525	17035	der	Choreograph	Choreographen	choreographer	UNSET	
17526	17036	der	Christkindlmarkt	Christkindlmärkte	Christmas market	UNSET	
17527	17037	die	Cocktailbar	Cocktailbars	cocktail bar	UNSET	
17528	17038	das	Computernetz	Computernetze	computer network	UNSET	
17529	17039	die	Crema	—	crema (coffee foam)	UNSET	
17530	17040	die	Dachkonstruktion	Dachkonstruktionen	roof construction/roof structure	UNSET	
17531	17041	die	Dachrinne	Dachrinnen	gutter/guttering	UNSET	
17532	1779	die	Damenmode	Damenmoden	lady fashion	A1	
17533	17043	der	Dampfgarer	Dampfgarer	steamer	UNSET	
17534	17044	die	Darmwand	Darmwände	intestinal wall	UNSET	
17535	17045	die	Daseinsberechtigung	Daseinsberechtigungen	right to exist	UNSET	
17536	17046	der	Dateityp	Dateitypen	file type	UNSET	
