row	rank	article	word	plural	english	cefrLevel	flags
5601	5453	das	Lichtverhältnis	Lichtverhältnisse	lighting conditions	UNSET	
5602	5454	der	Livestream	Livestreams	live stream	UNSET	
5603	5455	die	Machbarkeitsstudie	Machbarkeitsstudien	feasibility study/proof-of-concept	UNSET	
5604	4444	der	Meeresspiegel	Meeresspiegel	sea level	C1	
5605	5457	das	Pad	Pads	pad/pod	UNSET	
5606	5458	der	Pakt	Pakte	pact	UNSET	
5607	5459	das	Parkett	Parkette	parquet	UNSET	
5608	5460	die	Patientenverfügung	Patientenverfügungen	advance directive	UNSET	
5609	829	die	Pommes	Pommes	fries/chips (informal)	A1	
5610	5462	der	Projektmanager	Projektmanager	project manager	UNSET	
5611	5463	das	Pseudonym	Pseudonyme	alias/pseudonym	UNSET	
5612	5464	der	Referentenentwurf	Referentenentwürfe	draft bill/ministerial draft	UNSET	
5613	5465	das	Reiten	—	horse riding	UNSET	
5614	5466	die	Rennstrecke	Rennstrecken	course/racetrack	UNSET	
5615	5467	die	Rinde	Rinden	bark/rind/crust	UNSET	
5616	5468	die	Sackgasse	Sackgassen	blind alley/cul-de-sac/dead-end	UNSET	
5617	3573	der	Schläger	Schläger	racket/bat	A2	
5618	5470	das	Schwert	Schwerter	sword	UNSET	
5619	5471	der	Seelsorger	Seelsorger	minister/pastor	UNSET	
5620	5472	die	Sitzbank	Sitzbänke	bench/seat/settee	UNSET	
5621	4445	die	Sitzgelegenheit	Sitzgelegenheiten	seat	C1	
5622	5474	die	Sohle	Sohlen	sole	UNSET	
5623	5475	der	Starkregen	Starkregen	intense rain/torrential rain	UNSET	
5624	5476	die	Strafanzeige	Strafanzeigen	crime report/offence report/police report	UNSET	
5625	5477	der	Tatverdächtige	Tatverdächtigen	suspect	UNSET	adjectivalNoun
5626	3000	das	Treppenhaus	Treppenhäuser	staircase/stairwell	B1	
5627	836	der	Türke	Türken	Turk	A1	
5628	5480	das	Übereinkommen	Übereinkommen	convention/agreement	UNSET	
5629	5481	die	Universitätsmedizin	—	university medicine	UNSET	
5630	5482	der	Unmut	—	discontent/dissatisfaction	UNSET	
5631	5483	die	Urheberrechtsverletzung	Urheberrechtsverletzungen	copyright infringement/copyright violation	UNSET	
5632	4446	der	Vegetarier	Vegetarier	vegetarian	C1	
5633	5485	die	Verflechtung	Verflechtungen	interconnection/entanglement	UNSET	
5634	5486	die	Vernissage	Vernissagen	private view	UNSET	
5635	5487	das	Vorhandensein	—	presence	UNSET	
5636	5488	das	Waschen	—	washing	UNSET	
5637	5489	der	Wegesrand	Wegesränder	wayside/roadside	UNSET	
5638	5490	der	Windpark	Windparks	wind farm	UNSET	
5639	5491	die	Witwe	Witwen	widow	UNSET	
5640	1876	der	Zirkus	Zirkusse	circus	A2	
5641	5493	die	Zweitstimme	Zweitstimmen	second vote	UNSET	
5642	5494	die	Abendstunde	Abendstunden	evening hour	UNSET	
5643	5495	der	Abgrund	Abgründe	abyss/chasm/precipice	UNSET	
