row	rank	article	word	plural	english	cefrLevel	flags
21797	21310	der	Strampler	Strampler	romper suit	UNSET	
21798	21311	die	Straßenbahnhaltestelle	Straßenbahnhaltestellen	streetcar stop/tram stop	UNSET	
21799	21312	der	Straßenbelag	Straßenbeläge	road surface	UNSET	
21800	21313	der	Streckenposten	Streckenposten	track marshal	UNSET	
21801	21314	die	Streckung	Streckungen	stretching/elongation	UNSET	
21802	21315	der	Streifendienst	—	patrol duty	UNSET	
21803	21316	der	Streifenpolizist	Streifenpolizisten	patrol officer	UNSET	
21804	21317	die	Streitschrift	Streitschriften	polemical pamphlet	UNSET	
21805	21318	das	Streitthema	Streitthemen	contentious issue	UNSET	
21806	21319	der	Stressor	Stressoren	stressor	UNSET	
21807	21320	die	Strickjacke	Strickjacken	cardigan	UNSET	
21808	21321	der	Strohhut	Strohhüte	straw hat	UNSET	
21809	21322	die	Stromgewinnung	Stromgewinnungen	power generation/electricity generation	UNSET	
21810	21323	das	Stromsparen	—	saving electricity	UNSET	
21811	21324	die	Stromtankstelle	Stromtankstellen	charging station	UNSET	
21812	21325	die	Stromtrasse	Stromtrassen	power line	UNSET	
21813	21326	die	Stückliste	Stücklisten	bill of materials	UNSET	
21814	21327	der	Stückpreis	Stückpreise	unit price	UNSET	
21815	21328	der	Studentenausweis	Studentenausweise	student card	UNSET	
21816	21329	die	Sturheit	Sturheiten	obstinacy/stubbornness	UNSET	
21817	21330	der	Stylus	Styli	stylus	UNSET	
21818	4235	die	Subjektivität	—	subjectivity	B2	
21819	21332	der	Suchauftrag	Suchaufträge	search request / search query	UNSET	
21820	21333	der	Süchtige	Süchtigen	addict	UNSET	adjectivalNoun
21821	21334	der	Südkoreaner	Südkoreaner	South Korean	UNSET	
21822	21335	die	Südspitze	Südspitzen	southern tip	UNSET	
21823	21336	die	Suffizienz	Suffizienzen	sufficiency	UNSET	
21824	21337	das	Super	—	Super (petrol grade)	UNSET	
21825	21338	das	Supermarktregal	Supermarktregale	supermarket shelf	UNSET	
21826	21339	die	Suppenküche	Suppenküchen	soup kitchen	UNSET	
21827	21340	die	Sure	Suren	sura/surah	UNSET	
21828	21341	das	Süßungsmittel	Süßungsmittel	sweetener	UNSET	
21829	21342	der	Sympathisant	Sympathisanten	sympathizer	UNSET	
21830	21343	die	Systematisierung	Systematisierungen	systematisation	UNSET	
21831	21344	der	Systemsprenger	Systemsprenger	system-buster (problem child)	UNSET	
21832	21345	der	Tabubruch	Tabubrüche	breaking of a taboo	UNSET	
21833	21346	der	Tagesbedarf	Tagesbedarfe	daily requirement	UNSET	
21834	21347	die	Tagesform	Tagesformen	form on the day	UNSET	
21835	21348	die	Tagespresse	—	daily press	UNSET	
21836	21349	die	Tagestemperatur	Tagestemperaturen	daytime temperature	UNSET	
21837	21350	das	Tagesthema	Tagesthemen	topic of the day	UNSET	
21838	21351	der	Talg	Talge	sebum/tallow	UNSET	
21839	21352	die	Talgdrüse	Talgdrüsen	sebaceous gland	UNSET	
21840	21353	der	Talkessel	Talkessel	valley basin	UNSET	
21841	21354	die	Tankfüllung	Tankfüllungen	tankful	UNSET	
21842	21355	der	Tanzbär	Tanzbären	dancing bear	UNSET	
21843	21356	das	Tape	Tapes	tape	UNSET	
21844	21357	der	Tapir	Tapire	tapir	UNSET	
21845	21358	der	Tariflohn	Tariflöhne	standard wage/union wage	UNSET	
21846	21359	der	Taschenkalender	Taschenkalender	diary/pocket calendar	UNSET	
21847	21360	der	Tatar	Tataren	Tatar/steak tartare	UNSET	
21848	21361	die	Tatsachenbehauptung	Tatsachenbehauptungen	factual assertion	UNSET	
21849	21362	das	Tausendstel	Tausendstel	thousandth	UNSET	
21850	21363	die	Teamleiterin	Teamleiterinnen	team leader	UNSET	
21851	21364	die	Technikwissenschaft	Technikwissenschaften	technical science	UNSET	
21852	21365	der	Teddybär	Teddybären	teddy bear	UNSET	
21853	21366	die	Teeküche	Teeküchen	kitchenette	UNSET	
21854	21367	die	Teilzeitstelle	Teilzeitstellen	part-time position	UNSET	
21855	21368	das	Telefonnetz	Telefonnetze	telephone network/phone network	UNSET	
21856	21369	die	Telefonverbindung	Telefonverbindungen	phone call/telephone connection/telephone line	UNSET	
21857	21370	das	Telegramm	Telegramme	telegram	UNSET	
21858	21371	die	Tempelanlage	Tempelanlagen	temple complex	UNSET	
21859	21372	der	Term	Terme	term	UNSET	
21860	21373	die	Terrassenwohnung	Terrassenwohnungen	terrace apartment	UNSET	
21861	21374	die	Terrorgruppe	Terrorgruppen	terror group	UNSET	
21862	21375	die	Terrorismusbekämpfung	Terrorismusbekämpfungen	combating terrorism	UNSET	
21863	21376	das	Testcenter	Testcenter	test centre/testing centre	UNSET	
21864	21377	die	Textaufgabe	Textaufgaben	word problem/text task	UNSET	
21865	21378	der	Theaterabend	Theaterabende	theatre evening	UNSET	
21866	21379	die	Thermalquelle	Thermalquellen	hot spring	UNSET	
21867	21380	die	Thronfolge	Thronfolgen	succession to the throne	UNSET	
21868	21381	der	Thüringer	Thüringer	Thuringian	UNSET	
21869	21382	die	Tiefebene	Tiefebenen	lowland/plain	UNSET	
21870	21383	die	Tiefkühlkost	—	frozen food	UNSET	
21871	21384	der	Tieflader	Tieflader	low loader/low-loading truck/lowboy	UNSET	
21872	21385	der	Tierbesitzer	Tierbesitzer	animal owner/pet owner	UNSET	
21873	21386	die	Tierklinik	Tierkliniken	veterinary hospital	UNSET	
21874	21387	das	Timeout	Timeouts	time-out	UNSET	
21875	21388	der	Tischtennisspieler	Tischtennisspieler	table tennis player	UNSET	
21876	21389	die	Titelrolle	Titelrollen	title role/titular role	UNSET	
21877	21390	der	Todesstoß	Todesstöße	death blow/final blow	UNSET	
21878	21391	der	Todesumstand	Todesumstände	circumstances of death	UNSET	
21879	21392	die	Tomatensoße	Tomatensoßen	tomato sauce	UNSET	
21880	21393	der	Tontopf	Tontöpfe	clay pot	UNSET	
21881	21394	der	Töpfer	Töpfer	potter	UNSET	
21882	21395	der	Topos	Topoi	topos	UNSET	
21883	21396	der	Tornister	Tornister	knapsack/satchel	UNSET	
21884	21397	die	Tortilla	Tortillas	tortilla	UNSET	
21885	21398	das	Totschlagargument	Totschlagargumente	knock-down argument / conversation-stopper	UNSET	
21886	21399	der	Touristenmagnet	Touristenmagnete	tourist magnet	UNSET	
21887	21400	die	Toxizität	Toxizitäten	toxicity	UNSET	
21888	21401	der	Tragegurt	Tragegurte	carrying strap	UNSET	
21889	21402	die	Tragetasche	Tragetaschen	bag/carrier bag/tote bag	UNSET	
21890	21403	die	Traglast	Traglasten	load capacity	UNSET	
21891	21404	das	Transitland	Transitländer	transit country	UNSET	
21892	21405	das	Transparentpapier	—	tracing paper	UNSET	
21893	21406	das	Trapez	Trapeze	trapeze (circus) / trapezium (geometry)	UNSET	
21894	21407	das	Traumazentrum	Traumazentren	trauma centre	UNSET	
21895	21408	das	Traumpaar	Traumpaare	perfect couple	UNSET	
21896	21409	die	Treffsicherheit	Treffsicherheiten	accuracy	UNSET	
21897	21410	das	Treibhaus	Treibhäuser	greenhouse/hothouse	UNSET	
21898	21411	der	Trenchcoat	Trenchcoats	trench coat	UNSET	
21899	21412	der	Trendsport	Trendsporte	trend sport	UNSET	
21900	21413	das	Trimester	Trimester	term/trimester	UNSET	
21901	21414	der	Trinkhalm	Trinkhalme	drinking straw/drinking tube	UNSET	
21902	21415	die	Trübung	Trübungen	clouding/turbidity/dimming	UNSET	
21903	21416	der	Trümmerhaufen	Trümmerhaufen	pile of rubble	UNSET	
21904	21417	das	Tryptophan	—	tryptophan/tryptophane	UNSET	
21905	21418	der	Tupf	Tupfe	dab	UNSET	
21906	922	die	Türkin	Türkinnen	Turkish woman	A1	
21907	21420	die	Türöffnung	Türöffnungen	door opening	UNSET	
21908	21421	die	Türzarge	Türzargen	door frame	UNSET	
21909	21422	die	Typologie	Typologien	typology	UNSET	
21910	21423	die	Überalterung	Überalterungen	ageing (population)	UNSET	
21911	21424	der	Überbegriff	Überbegriffe	generic term	UNSET	
21912	21425	die	Übergangsregierung	Übergangsregierungen	caretaker government/provisional government	UNSET	
21913	21426	der	Überhang	Überhänge	overhang	UNSET	
21914	21427	die	Überheblichkeit	Überheblichkeiten	arrogance	UNSET	
21915	21428	das	Überraschungsei	Überraschungseier	surprise egg (chocolate egg with a toy inside)	UNSET	
21916	21429	das	Überraschungsmoment	Überraschungsmomente	surprise moment	UNSET	
21917	21430	der	Überschlag	Überschläge	rough calculation/somersault/flashover	UNSET	
21918	21431	die	Übungsphase	Übungsphasen	exercise phase	UNSET	
21919	21432	die	Übungsstunde	Übungsstunden	practice lesson	UNSET	
21920	21433	der	Uhrmacher	Uhrmacher	watchmaker	UNSET	
21921	21434	die	Ulme	Ulmen	elm	UNSET	
21922	21435	der	Ultra	Ultras	ultra (hardcore football fan)	UNSET	
21923	21436	die	Umgehungsstraße	Umgehungsstraßen	bypass	UNSET	
21924	21437	der	Umhang	Umhänge	cape/cloak	UNSET	
21925	21438	der	Umkleideraum	Umkleideräume	changing room/locker room	UNSET	
21926	21439	die	Umlaufbahn	Umlaufbahnen	orbit	UNSET	
21927	21440	das	Umsatzvolumen	Umsatzvolumen	sales volume	UNSET	
21928	21441	die	Umsatzzahl	Umsatzzahlen	sales figure	UNSET	
21929	21442	die	Umweltschutzorganisation	Umweltschutzorganisationen	environmental organisation	UNSET	
21930	21443	die	Unerfahrenheit	Unerfahrenheiten	inexperience	UNSET	
21931	21444	der	Unfallbericht	Unfallberichte	accident report	UNSET	
21932	21445	das	Unfallfahrzeug	Unfallfahrzeuge	accident vehicle/crashed vehicle	UNSET	
21933	21446	die	Unfallflucht	Unfallfluchten	hit and run	UNSET	
21934	21447	das	Unfallgeschehen	Unfallgeschehen	accident events/accident situation	UNSET	
21935	21448	der	Unfallverursacher	Unfallverursacher	person who caused the accident	UNSET	
21936	7722	die	Unfreiheit	—	lack of freedom	B2	
21937	21450	der	Unfriede	—	discord/strife	UNSET	
21938	21451	der	Unicode	—	Unicode	UNSET	
21939	21452	das	Universalgenie	Universalgenies	polymath	UNSET	
21940	21453	der	Unkenruf	Unkenrufe	gloomy prediction	UNSET	
21941	8907	die	Unlust	—	listlessness / reluctance / lack of enthusiasm	C1	
21942	21455	der	Unrat	—	trash/waste	UNSET	
21943	21456	die	Unreinheit	Unreinheiten	impurity	UNSET	
21944	21457	der	Unsicherheitsfaktor	Unsicherheitsfaktoren	uncertainty factor	UNSET	
21945	4685	die	Unsterblichkeit	—	immortality	C1	
21946	21459	der	Unterbauch	Unterbäuche	lower abdomen/underbelly	UNSET	
21947	21460	die	Unterbindung	Unterbindungen	prevention	UNSET	
21948	21461	die	Unterforderung	Unterforderungen	being underchallenged	UNSET	
21949	21462	der	Unterkiefer	Unterkiefer	lower jaw/mandible	UNSET	
21950	21463	der	Unterleib	Unterleiber	abdomen / lower abdomen	UNSET	
21951	21464	die	Unternehmensangabe	Unternehmensangaben	company information	UNSET	
21952	21465	die	Unternehmerfamilie	Unternehmerfamilien	business family/entrepreneurial family	UNSET	
21953	21466	die	Unternehmerschaft	Unternehmerschaften	business community / employers collectively	UNSET	
21954	21467	der	Unterrichtsgegenstand	Unterrichtsgegenstände	subject matter	UNSET	
21955	21468	die	Unterstreichung	Unterstreichungen	underlining/emphasis	UNSET	
21956	21469	die	Unterzuckerung	Unterzuckerungen	hypoglycemia	UNSET	
21957	21470	der	Unwille	—	displeasure/reluctance	UNSET	
21958	21471	der	Uploadfilter	Uploadfilter	upload filter	UNSET	
21959	21472	die	Urabstimmung	Urabstimmungen	strike ballot (union membership vote)	UNSET	
21960	4237	der	Urgroßvater	Urgroßväter	great grandfather	B2	
21961	21474	der	Urheberrechtsverstoß	Urheberrechtsverstöße	copyright infringement	UNSET	
21962	21475	die	Urinprobe	Urinproben	urine sample	UNSET	
21963	21476	die	Ursprünglichkeit	Ursprünglichkeiten	unspoiltness / naturalness / authenticity	UNSET	
21964	21477	das	Vanillin	—	vanillin	UNSET	
21965	21478	die	Vasektomie	Vasektomien	vasectomy	UNSET	
21966	21479	das	Verbreiten	—	spreading/dissemination	UNSET	
21967	21480	das	Verdachtsmoment	Verdachtsmomente	suspicious circumstance	UNSET	
21968	21481	der	Verdauungssaft	Verdauungssäfte	digestive juice	UNSET	
21969	21482	die	Verdienstmedaille	Verdienstmedaillen	medal of merit	UNSET	
21970	21483	die	Vereinstätigkeit	Vereinstätigkeiten	association activity	UNSET	
21971	21484	das	Verfalldatum	Verfalldaten	expiry date	UNSET	
21972	21485	der	Verführer	Verführer	seducer	UNSET	
21973	21486	die	Vergangenheitsbewältigung	Vergangenheitsbewältigungen	accounting for the past/coming to terms with the past/coping with the past	UNSET	
21974	21487	die	Vergnügungsstätte	Vergnügungsstätten	amusement venue	UNSET	
21975	21488	der	Verhandlungstisch	Verhandlungstische	negotiating table	UNSET	
21976	21489	die	Verkehrspolizei	Verkehrspolizeien	traffic police	UNSET	
21977	21490	die	Verkehrstechnik	—	traffic engineering	UNSET	
21978	21491	die	Verkrampfung	Verkrampfungen	tension/cramping	UNSET	
21979	21492	die	Verlaufsform	Verlaufsformen	progressive form	UNSET	
21980	21493	die	Verlustleistung	Verlustleistungen	power loss	UNSET	
21981	21494	der	Vermisstenfall	Vermisstenfälle	missing persons case	UNSET	
21982	21495	der	Vermögende	Vermögenden	wealthy person	UNSET	adjectivalNoun
21983	21496	die	Vermögensteuer	Vermögensteuern	wealth tax	UNSET	
21984	21497	das	Vermögensverhältnis	Vermögensverhältnisse	financial circumstances	UNSET	
21985	21498	die	Verödung	Verödungen	desolation/sclerotherapy	UNSET	
21986	21499	der	Verrückte	Verrückten	crazy person/madman	UNSET	adjectivalNoun
21987	21500	der	Versammlungsort	Versammlungsorte	meeting place/assembly venue	UNSET	
21988	21501	das	Versatzstück	Versatzstücke	stock element/cliché	UNSET	
21989	21502	die	Verschleppung	Verschleppungen	abduction/dragging out	UNSET	
21990	21503	die	Versicherungspolice	Versicherungspolicen	insurance policy	UNSET	
21991	21504	das	Versteckspiel	Versteckspiele	hide and seek	UNSET	
21992	21505	die	Versteinerung	Versteinerungen	petrifaction/petrification	UNSET	
21993	21506	das	Versuchstier	Versuchstiere	test animal	UNSET	
21994	21507	der	Vertragsentwurf	Vertragsentwürfe	draft contract	UNSET	
21995	21508	der	Verwaltungsangestellte	Verwaltungsangestellten	administration employee	UNSET	adjectivalNoun
21996	21509	der	Verwaltungsapparat	Verwaltungsapparate	administrative apparatus	UNSET	
21997	21510	der	Verwaltungsbeamte	Verwaltungsbeamten	administrative officer	UNSET	adjectivalNoun
21998	21511	das	Verwaltungszentrum	Verwaltungszentren	administration centre	UNSET	
21999	21512	das	Verwandtschaftsverhältnis	Verwandtschaftsverhältnisse	kinship relationship	UNSET	
22000	21513	die	Verwendbarkeit	—	applicability	UNSET	
22001	3553	die	Verzeihung	—	excuse me	A2	
22002	21515	die	Veste	Vesten	fortress (poetic)	UNSET	
22003	21516	der	Viadukt	Viadukte	viaduct	UNSET	
22004	21517	das	Violinkonzert	Violinkonzerte	violin concerto	UNSET	
22005	21518	der	Virtuose	Virtuosen	virtuoso	UNSET	
22006	21519	die	Vitalfunktion	Vitalfunktionen	vital function	UNSET	
22007	21520	der	Vitaminmangel	Vitaminmängel	vitamin deficiency	UNSET	
22008	21521	der	Vize	Vizes	deputy/vice (sport runner-up)	UNSET	
22009	21522	die	Vizemeisterschaft	Vizemeisterschaften	runner-up title	UNSET	
22010	21523	der	Volant	Volants	frill/steering wheel (Austrian)	UNSET	
22011	21524	der	Völkerbund	—	League of Nations	UNSET	
22012	21525	die	Volksgemeinschaft	Volksgemeinschaften	(Nazi-era) national/ethnic community	UNSET	
22013	21526	der	Volksheld	Volkshelden	folk hero	UNSET	
22014	21527	der	Volkstanz	Volkstänze	folk dance	UNSET	
22015	21528	der	Volksvertreter	Volksvertreter	representative of the people	UNSET	
22016	21529	die	Vorbedingung	Vorbedingungen	condition/precondition/prerequisite	UNSET	
22017	21530	das	Vorbereitungsspiel	Vorbereitungsspiele	warm-up match / friendly	UNSET	
22018	21531	die	Vorläuferzelle	Vorläuferzellen	precursor cell	UNSET	
22019	21532	das	Vorleben	—	past / previous history / background	UNSET	
22020	21533	das	Vorrundenspiel	Vorrundenspiele	preliminary round game	UNSET	
22021	21534	die	Wachablösung	Wachablösungen	changing of the guard	UNSET	
22022	21535	der	Wachdienst	Wachdienste	guard duty / security firm	UNSET	
22023	21536	der	Wachmann	Wachleute	security guard	UNSET	
22024	21537	der	Wachsmalstift	Wachsmalstifte	wax crayon	UNSET	
22025	21538	die	Wachstumsprognose	Wachstumsprognosen	growth forecast/growth prognosis	UNSET	
22026	21539	der	Wafer	Wafer	wafer	UNSET	
22027	21540	das	Waffeleisen	Waffeleisen	waffle iron	UNSET	
22028	21541	das	Wahlkampfthema	Wahlkampfthemen	campaign issue/election campaign topic	UNSET	
22029	21542	die	Wahrhaftigkeit	Wahrhaftigkeiten	truthfulness/veracity	UNSET	
22030	21543	der	Wahrheitsgehalt	Wahrheitsgehalte	truth content/truthfulness	UNSET	
22031	21544	die	Waldbesitzerin	Waldbesitzerinnen	forest owner (female)	UNSET	
22032	21545	die	Waldlandschaft	Waldlandschaften	forest landscape	UNSET	
22033	21546	die	Waldwiese	Waldwiesen	forest meadow	UNSET	
22034	21547	der	Waliser	Waliser	Welshman	UNSET	
22035	21548	der	Walker	Walker	Nordic walker / (textile) fuller	UNSET	
22036	21549	das	Walmdach	Walmdächer	hip roof	UNSET	
22037	21550	die	Wandelbarkeit	—	changeability/mutability	UNSET	
22038	21551	der	Wanderstock	Wanderstöcke	walking stick	UNSET	
22039	21552	die	Wanderungsbewegung	Wanderungsbewegungen	migration movement	UNSET	
22040	21553	die	Wanduhr	Wanduhren	wall clock	UNSET	
22041	21554	das	Wappentier	Wappentiere	heraldic animal	UNSET	
22042	21555	das	Warenlager	Warenlager	goods depot/warehouse	UNSET	
22043	21556	die	Wärmebehandlung	Wärmebehandlungen	heat treatment	UNSET	
22044	21557	die	Wärmequelle	Wärmequellen	heat source/source of heat	UNSET	
22045	21558	das	Wartungsintervall	Wartungsintervalle	maintenance interval	UNSET	
22046	21559	die	Waschstraße	Waschstraßen	car wash	UNSET	
22047	21560	der	Wasen	Wasen	turf/sod	UNSET	
22048	21561	das	Wasserloch	Wasserlöcher	water hole	UNSET	
22049	21562	der	Wassermangel	—	water shortage	UNSET	
22050	21563	die	Wassermelone	Wassermelonen	watermelon	UNSET	
22051	21564	das	Wassern	—	splashdown (aircraft on water)	UNSET	
22052	21565	die	Wasserpfeife	Wasserpfeifen	hookah/water pipe	UNSET	
22053	21566	das	Wasserrad	Wasserräder	waterwheel	UNSET	
22054	21567	die	Wasserschutzpolizei	—	water police	UNSET	
22055	21568	das	Wassertier	Wassertiere	aquatic animal/water animal	UNSET	
22056	21569	die	Weberei	Webereien	weaving mill	UNSET	
22057	21570	der	Webstuhl	Webstühle	weaving loom	UNSET	
22058	21571	das	Webvideo	Webvideos	web video	UNSET	
22059	21572	das	Wehwehchen	Wehwehchen	minor ailment	UNSET	
22060	21573	die	Weichsel	Weichseln	morello cherry/sour cherry	UNSET	
22061	21574	die	Weihnachtstradition	Weihnachtstraditionen	Christmas tradition	UNSET	
22062	21575	das	Weißbier	Weißbiere	wheat beer	UNSET	
22063	21576	die	Weißwurst	Weißwürste	white sausage (Bavarian veal sausage)	UNSET	
22064	21577	das	Wellenbad	Wellenbäder	wave pool	UNSET	
22065	21578	der	Wellensittich	Wellensittiche	budgerigar/budgie	UNSET	
22066	21579	die	Wellpappe	Wellpappen	corrugated cardboard/corrugated board	UNSET	
22067	21580	das	Weltgeschehen	Weltgeschehen	world affairs	UNSET	
22068	21581	der	Weltrang	—	world class / international standing	UNSET	
22069	21582	die	Werbebranche	Werbebranchen	advertising industry	UNSET	
22070	21583	der	Werbebrief	Werbebriefe	advertising letter/sales letter	UNSET	
22071	21584	das	Wertguthaben	Wertguthaben	credit balance/value credit	UNSET	
22072	21585	der	Westbahnhof	Westbahnhöfe	west station	UNSET	
22073	21586	der	Westflügel	Westflügel	west wing	UNSET	
22074	21587	der	Westteil	Westteile	western part	UNSET	
22075	21588	der	Wettbewerbsteilnehmer	Wettbewerbsteilnehmer	competition participant	UNSET	
22076	21589	das	Wettrüsten	—	arms race	UNSET	
22077	21590	der	Wiederholungstäter	Wiederholungstäter	recidivist/repeat offender	UNSET	
22078	21591	die	Wiederinbetriebnahme	Wiederinbetriebnahmen	recommissioning/restarting	UNSET	
22079	21592	der	Wiesengrund	Wiesengründe	meadowland / meadow valley	UNSET	
22080	21593	der	Wildesel	Wildesel	wild donkey	UNSET	
22081	21594	die	Wildgans	Wildgänse	wild goose	UNSET	
22082	21595	die	Windböe	Windböen	gust	UNSET	
22083	21596	das	Windverhältnis	Windverhältnisse	wind conditions	UNSET	
