row	rank	article	word	plural	english	cefrLevel	flags
21701	21214	die	Sicherungsverwahrung	Sicherungsverwahrungen	preventive detention	UNSET	
21702	21215	die	Sichtachse	Sichtachsen	sightline	UNSET	
21703	21216	der	Siegtreffer	Siegtreffer	winning goal	UNSET	
21704	21217	der	Silberschmuck	Silberschmucke	silver jewellery	UNSET	
21705	21218	der	Silo	Silos	silo	UNSET	
21706	21219	das	Silvesterfeuerwerk	Silvesterfeuerwerke	New Year's Eve fireworks	UNSET	
21707	21220	das	Singspiel	Singspiele	singspiel	UNSET	
21708	21221	der	Sinkflug	Sinkflüge	descent	UNSET	
21709	21222	die	Sinusitis	Sinusitiden	sinusitis	UNSET	
21710	21223	das	Sitzungsprotokoll	Sitzungsprotokolle	meeting minutes	UNSET	
21711	21224	der	Sitzungstermin	Sitzungstermine	meeting date	UNSET	
21712	21225	das	Sitzungszimmer	Sitzungszimmer	meeting room	UNSET	
21713	21226	der	Skandinavier	Skandinavier	Scandinavian	UNSET	
21714	21227	die	Skihalle	Skihallen	indoor ski centre/ski hall	UNSET	
21715	21228	der	Skisport	Skisporte	skiing	UNSET	
21716	21229	der	Skiverband	Skiverbände	ski association	UNSET	
21717	21230	der	Smog	Smogs	smog	UNSET	
21718	21231	das	Soloalbum	Soloalben	solo album	UNSET	
21719	21232	die	Sommerfrische	Sommerfrischen	summer resort	UNSET	
21720	21233	der	Sommernachtstraum	Sommernachtsträume	A Midsummer Night's Dream	UNSET	
21721	21234	der	Sonderdruck	Sonderdrucke	offprint	UNSET	
21722	21235	das	Sondereigentum	Sondereigentume	special ownership	UNSET	
21723	21236	der	Sonderermittler	Sonderermittler	special investigator	UNSET	
21724	21237	der	Sondermüll	—	hazardous waste	UNSET	
21725	21238	das	Sonderrecht	Sonderrechte	privilege	UNSET	
21726	21239	der	Sonderstatus	Sonderstatus	special status	UNSET	
21727	21240	das	Sonnenblumenöl	Sonnenblumenöle	sunflower oil	UNSET	
21728	21241	der	Sonnenstrom	—	solar power	UNSET	
21729	21242	der	Sonnentag	Sonnentage	sunny day	UNSET	
21730	21243	die	Sonnenuhr	Sonnenuhren	sundial	UNSET	
21731	21244	der	Sonntagsgottesdienst	Sonntagsgottesdienste	Sunday (church) service	UNSET	
21732	21245	die	Sortieranlage	Sortieranlagen	sorting facility	UNSET	
21733	21246	das	Souterrain	Souterrains	souterrain	UNSET	
21734	21247	die	Sozialausgabe	Sozialausgaben	social expenditure	UNSET	
21735	21248	das	Spalier	Spaliere	trellis/honour guard	UNSET	
21736	21249	der	Spamfilter	Spamfilter	spam filter	UNSET	
21737	21250	das	Sparschwein	Sparschweine	piggy bank/piggybank	UNSET	
21738	21251	der	Spätnachmittag	Spätnachmittage	late afternoon	UNSET	
21739	21252	das	Speiseeis	—	ice cream	UNSET	
21740	21253	das	Speiseöl	Speiseöle	cooking oil/edible oil	UNSET	
21741	21254	der	Sperrbezirk	Sperrbezirke	restricted area	UNSET	
21742	21255	der	Spielaufbau	—	build-up play (football)	UNSET	
21743	21256	die	Spielerfahrung	Spielerfahrungen	playing experience	UNSET	
21744	8904	der	Spielkamerad	Spielkameraden	playmate	C1	
21745	21258	der	Spiritus	Spiritusse	alcohol/spirit	UNSET	
21746	21259	der	Spitzel	Spitzel	informer / police informant	UNSET	
21747	21260	der	Spitzenpreis	Spitzenpreise	top price	UNSET	
21748	21261	der	Spitzensteuersatz	Spitzensteuersätze	top tax rate	UNSET	
21749	21262	der	Sportartikelhersteller	Sportartikelhersteller	sporting goods manufacturer	UNSET	
21750	21263	der	Sportjournalist	Sportjournalisten	sport journalist	UNSET	
21751	21264	die	Sportmannschaft	Sportmannschaften	sports team	UNSET	
21752	21265	die	Sportschau	Sportschauen	sports show	UNSET	
21753	21266	der	Sportvorstand	Sportvorstände	sports director	UNSET	
21754	21267	der	Sprachfehler	Sprachfehler	speech impediment	UNSET	
21755	21268	die	Sprachvermittlung	Sprachvermittlungen	language teaching	UNSET	
21756	21269	der	Sprungturm	Sprungtürme	diving platform	UNSET	
21757	21270	der	Spüler	Spüler	dishwasher (machine) / kitchen porter	UNSET	
21758	21271	der	Spülkasten	Spülkästen	toilet tank	UNSET	
21759	21272	die	Spurensicherung	Spurensicherungen	crime scene investigation	UNSET	
21760	21273	die	Staatlichkeit	—	statehood	UNSET	
21761	21274	die	Staatsform	Staatsformen	form of government	UNSET	
21762	21275	die	Staatsgründung	Staatsgründungen	founding of the state	UNSET	
21763	21276	die	Staatskapelle	Staatskapellen	state orchestra	UNSET	
21764	21277	das	Staatsrecht	Staatsrechte	constitutional law	UNSET	
21765	21278	der	Staatsstreich	Staatsstreiche	coup/coup d’état	UNSET	
21766	3731	die	Stadtbesichtigung	Stadtbesichtigungen	city tour	A2	
21767	21280	die	Stadtgründung	Stadtgründungen	city founding	UNSET	
21768	21281	die	Stammform	Stammformen	basic form/stem form	UNSET	
21769	21282	die	Stammkundschaft	Stammkundschaften	regular customers	UNSET	
21770	21283	der	Stammwähler	Stammwähler	regular voter	UNSET	
21771	21284	die	Standardausrüstung	Standardausrüstungen	standard equipment	UNSET	
21772	21285	die	Standesbeamtin	Standesbeamtinnen	registrar	UNSET	
21773	21286	der	Standstreifen	Standstreifen	hard shoulder	UNSET	
21774	21287	das	Statin	Statine	statin	UNSET	
21775	21288	die	Stationierung	Stationierungen	stationing/deployment	UNSET	
21776	21289	der	Stationsarzt	Stationsärzte	ward physician	UNSET	
21777	21290	der	Stehtisch	Stehtische	standing table / high table / poseur table	UNSET	
21778	21291	der	Steiger	Steiger	pit foreman (mining)	UNSET	
21779	21292	der	Steinkauz	Steinkäuze	little owl	UNSET	
21780	21293	der	Steinpilz	Steinpilze	porcini mushroom	UNSET	
21781	21294	der	Steinzeitmensch	Steinzeitmenschen	Stone Age person	UNSET	
21782	21295	das	Steißbein	Steißbeine	coccyx/tailbone	UNSET	
21783	21296	das	Sterberisiko	Sterberisiken	mortality risk	UNSET	
21784	21297	das	Steueraufkommen	Steueraufkommen	tax revenue	UNSET	
21785	21298	die	Steuererleichterung	Steuererleichterungen	tax relief	UNSET	
21786	21299	die	Steueroase	Steueroasen	tax haven	UNSET	
21787	3260	die	Stewardess	Stewardessen	stewardess	B1	
21788	21301	die	Stichelei	Sticheleien	dig / snide remark / taunt	UNSET	
21789	21302	das	Stiftungsfest	Stiftungsfeste	foundation celebration	UNSET	
21790	8905	das	Stigma	Stigmata	stigma	C1	
21791	21304	die	Stimmenzahl	Stimmenzahlen	number of votes/vote count	UNSET	
21792	21305	der	Stoffrest	Stoffreste	fabric remnant/waste fabric	UNSET	
21793	21306	der	Stoßdämpfer	Stoßdämpfer	shock absorber	UNSET	
21794	8906	die	Stoßstange	Stoßstangen	bumper	C1	
21795	21308	die	Strafandrohung	Strafandrohungen	threat of punishment	UNSET	
21796	21309	die	Strafkammer	Strafkammern	criminal chamber	UNSET	
